,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
2085,Verkehrsunfälle,Verletzte und Getötete,2000,12,515.0
1778,Verkehrsunfälle,mit Personenschäden,2000,03,414.0
1777,Verkehrsunfälle,mit Personenschäden,2000,02,329.0
1776,Verkehrsunfälle,mit Personenschäden,2000,01,321.0
1489,Verkehrsunfälle,insgesamt,2000,12,3789.0
584,Alkoholunfälle,Verletzte und Getötete,2000,01,37.0
1779,Verkehrsunfälle,mit Personenschäden,2000,04,441.0
585,Alkoholunfälle,Verletzte und Getötete,2000,02,19.0
587,Alkoholunfälle,Verletzte und Getötete,2000,04,26.0
588,Alkoholunfälle,Verletzte und Getötete,2000,05,44.0
589,Alkoholunfälle,Verletzte und Getötete,2000,06,32.0
590,Alkoholunfälle,Verletzte und Getötete,2000,07,37.0
591,Alkoholunfälle,Verletzte und Getötete,2000,08,32.0
592,Alkoholunfälle,Verletzte und Getötete,2000,09,45.0
593,Alkoholunfälle,Verletzte und Getötete,2000,10,31.0
586,Alkoholunfälle,Verletzte und Getötete,2000,03,18.0
594,Alkoholunfälle,Verletzte und Getötete,2000,11,24.0
1780,Verkehrsunfälle,mit Personenschäden,2000,05,568.0
1782,Verkehrsunfälle,mit Personenschäden,2000,07,610.0
286,Alkoholunfälle,insgesamt,2000,01,78.0
287,Alkoholunfälle,insgesamt,2000,02,53.0
288,Alkoholunfälle,insgesamt,2000,03,73.0
289,Alkoholunfälle,insgesamt,2000,04,78.0
290,Alkoholunfälle,insgesamt,2000,05,96.0
291,Alkoholunfälle,insgesamt,2000,06,57.0
292,Alkoholunfälle,insgesamt,2000,07,99.0
1781,Verkehrsunfälle,mit Personenschäden,2000,06,555.0
293,Alkoholunfälle,insgesamt,2000,08,77.0
295,Alkoholunfälle,insgesamt,2000,10,83.0
296,Alkoholunfälle,insgesamt,2000,11,71.0
297,Alkoholunfälle,insgesamt,2000,12,85.0
1786,Verkehrsunfälle,mit Personenschäden,2000,11,461.0
1785,Verkehrsunfälle,mit Personenschäden,2000,10,493.0
1784,Verkehrsunfälle,mit Personenschäden,2000,09,557.0
1783,Verkehrsunfälle,mit Personenschäden,2000,08,525.0
294,Alkoholunfälle,insgesamt,2000,09,84.0
595,Alkoholunfälle,Verletzte und Getötete,2000,12,31.0
1487,Verkehrsunfälle,insgesamt,2000,10,4117.0
890,Fluchtunfälle,insgesamt,2000,09,978.0
891,Fluchtunfälle,insgesamt,2000,10,1078.0
892,Fluchtunfälle,insgesamt,2000,11,1017.0
893,Fluchtunfälle,insgesamt,2000,12,950.0
1190,Fluchtunfälle,Verletzte und Getötete,2000,11,56.0
1189,Fluchtunfälle,Verletzte und Getötete,2000,10,47.0
1188,Fluchtunfälle,Verletzte und Getötete,2000,09,68.0
889,Fluchtunfälle,insgesamt,2000,08,881.0
1187,Fluchtunfälle,Verletzte und Getötete,2000,08,74.0
1185,Fluchtunfälle,Verletzte und Getötete,2000,06,58.0
1184,Fluchtunfälle,Verletzte und Getötete,2000,05,69.0
1183,Fluchtunfälle,Verletzte und Getötete,2000,04,57.0
1182,Fluchtunfälle,Verletzte und Getötete,2000,03,48.0
1181,Fluchtunfälle,Verletzte und Getötete,2000,02,35.0
1180,Fluchtunfälle,Verletzte und Getötete,2000,01,34.0
1186,Fluchtunfälle,Verletzte und Getötete,2000,07,67.0
1488,Verkehrsunfälle,insgesamt,2000,11,3931.0
888,Fluchtunfälle,insgesamt,2000,07,1102.0
886,Fluchtunfälle,insgesamt,2000,05,1086.0
1486,Verkehrsunfälle,insgesamt,2000,09,3807.0
1485,Verkehrsunfälle,insgesamt,2000,08,3387.0
1484,Verkehrsunfälle,insgesamt,2000,07,4282.0
1483,Verkehrsunfälle,insgesamt,2000,06,3329.0
1482,Verkehrsunfälle,insgesamt,2000,05,4123.0
1481,Verkehrsunfälle,insgesamt,2000,04,3317.0
1480,Verkehrsunfälle,insgesamt,2000,03,3783.0
887,Fluchtunfälle,insgesamt,2000,06,842.0
1479,Verkehrsunfälle,insgesamt,2000,02,3181.0
1191,Fluchtunfälle,Verletzte und Getötete,2000,12,45.0
882,Fluchtunfälle,insgesamt,2000,01,835.0
883,Fluchtunfälle,insgesamt,2000,02,890.0
884,Fluchtunfälle,insgesamt,2000,03,974.0
885,Fluchtunfälle,insgesamt,2000,04,834.0
1478,Verkehrsunfälle,insgesamt,2000,01,3448.0
1787,Verkehrsunfälle,mit Personenschäden,2000,12,403.0
2084,Verkehrsunfälle,Verletzte und Getötete,2000,11,578.0
2075,Verkehrsunfälle,Verletzte und Getötete,2000,02,419.0
2083,Verkehrsunfälle,Verletzte und Getötete,2000,10,615.0
2082,Verkehrsunfälle,Verletzte und Getötete,2000,09,675.0
2081,Verkehrsunfälle,Verletzte und Getötete,2000,08,647.0
2080,Verkehrsunfälle,Verletzte und Getötete,2000,07,744.0
2079,Verkehrsunfälle,Verletzte und Getötete,2000,06,685.0
2078,Verkehrsunfälle,Verletzte und Getötete,2000,05,675.0
2077,Verkehrsunfälle,Verletzte und Getötete,2000,04,557.0
2076,Verkehrsunfälle,Verletzte und Getötete,2000,03,509.0
2074,Verkehrsunfälle,Verletzte und Getötete,2000,01,434.0
880,Fluchtunfälle,insgesamt,2001,12,941.0
879,Fluchtunfälle,insgesamt,2001,11,1001.0
1773,Verkehrsunfälle,mit Personenschäden,2001,11,436.0
877,Fluchtunfälle,insgesamt,2001,09,953.0
876,Fluchtunfälle,insgesamt,2001,08,814.0
2061,Verkehrsunfälle,Verletzte und Getötete,2001,01,448.0
878,Fluchtunfälle,insgesamt,2001,10,1104.0
2062,Verkehrsunfälle,Verletzte und Getötete,2001,02,439.0
2068,Verkehrsunfälle,Verletzte und Getötete,2001,08,600.0
2064,Verkehrsunfälle,Verletzte und Getötete,2001,04,578.0
2065,Verkehrsunfälle,Verletzte und Getötete,2001,05,817.0
2066,Verkehrsunfälle,Verletzte und Getötete,2001,06,679.0
2067,Verkehrsunfälle,Verletzte und Getötete,2001,07,921.0
875,Fluchtunfälle,insgesamt,2001,07,1047.0
2069,Verkehrsunfälle,Verletzte und Getötete,2001,09,643.0
2071,Verkehrsunfälle,Verletzte und Getötete,2001,11,568.0
2072,Verkehrsunfälle,Verletzte und Getötete,2001,12,507.0
2063,Verkehrsunfälle,Verletzte und Getötete,2001,03,535.0
874,Fluchtunfälle,insgesamt,2001,06,905.0
873,Fluchtunfälle,insgesamt,2001,05,1081.0
872,Fluchtunfälle,insgesamt,2001,04,897.0
273,Alkoholunfälle,insgesamt,2001,01,66.0
274,Alkoholunfälle,insgesamt,2001,02,49.0
275,Alkoholunfälle,insgesamt,2001,03,63.0
276,Alkoholunfälle,insgesamt,2001,04,68.0
277,Alkoholunfälle,insgesamt,2001,05,85.0
278,Alkoholunfälle,insgesamt,2001,06,68.0
279,Alkoholunfälle,insgesamt,2001,07,71.0
280,Alkoholunfälle,insgesamt,2001,08,60.0
281,Alkoholunfälle,insgesamt,2001,09,107.0
282,Alkoholunfälle,insgesamt,2001,10,77.0
283,Alkoholunfälle,insgesamt,2001,11,68.0
284,Alkoholunfälle,insgesamt,2001,12,66.0
1774,Verkehrsunfälle,mit Personenschäden,2001,12,377.0
1772,Verkehrsunfälle,mit Personenschäden,2001,10,581.0
1771,Verkehrsunfälle,mit Personenschäden,2001,09,497.0
1770,Verkehrsunfälle,mit Personenschäden,2001,08,510.0
1769,Verkehrsunfälle,mit Personenschäden,2001,07,755.0
1768,Verkehrsunfälle,mit Personenschäden,2001,06,560.0
1767,Verkehrsunfälle,mit Personenschäden,2001,05,655.0
1766,Verkehrsunfälle,mit Personenschäden,2001,04,454.0
1765,Verkehrsunfälle,mit Personenschäden,2001,03,426.0
1764,Verkehrsunfälle,mit Personenschäden,2001,02,343.0
1763,Verkehrsunfälle,mit Personenschäden,2001,01,354.0
869,Fluchtunfälle,insgesamt,2001,01,871.0
870,Fluchtunfälle,insgesamt,2001,02,820.0
871,Fluchtunfälle,insgesamt,2001,03,962.0
1178,Fluchtunfälle,Verletzte und Getötete,2001,12,39.0
1177,Fluchtunfälle,Verletzte und Getötete,2001,11,32.0
2070,Verkehrsunfälle,Verletzte und Getötete,2001,10,717.0
1175,Fluchtunfälle,Verletzte und Getötete,2001,09,40.0
1471,Verkehrsunfälle,insgesamt,2001,07,4288.0
1472,Verkehrsunfälle,insgesamt,2001,08,3351.0
1473,Verkehrsunfälle,insgesamt,2001,09,3939.0
1474,Verkehrsunfälle,insgesamt,2001,10,4250.0
580,Alkoholunfälle,Verletzte und Getötete,2001,10,37.0
1475,Verkehrsunfälle,insgesamt,2001,11,4022.0
1476,Verkehrsunfälle,insgesamt,2001,12,3989.0
1470,Verkehrsunfälle,insgesamt,2001,06,3715.0
579,Alkoholunfälle,Verletzte und Getötete,2001,09,48.0
577,Alkoholunfälle,Verletzte und Getötete,2001,07,35.0
576,Alkoholunfälle,Verletzte und Getötete,2001,06,46.0
1176,Fluchtunfälle,Verletzte und Getötete,2001,10,85.0
575,Alkoholunfälle,Verletzte und Getötete,2001,05,32.0
574,Alkoholunfälle,Verletzte und Getötete,2001,04,32.0
573,Alkoholunfälle,Verletzte und Getötete,2001,03,36.0
572,Alkoholunfälle,Verletzte und Getötete,2001,02,20.0
578,Alkoholunfälle,Verletzte und Getötete,2001,08,21.0
571,Alkoholunfälle,Verletzte und Getötete,2001,01,36.0
1469,Verkehrsunfälle,insgesamt,2001,05,4128.0
1467,Verkehrsunfälle,insgesamt,2001,03,3970.0
1174,Fluchtunfälle,Verletzte und Getötete,2001,08,57.0
1173,Fluchtunfälle,Verletzte und Getötete,2001,07,83.0
1172,Fluchtunfälle,Verletzte und Getötete,2001,06,78.0
1171,Fluchtunfälle,Verletzte und Getötete,2001,05,67.0
1170,Fluchtunfälle,Verletzte und Getötete,2001,04,68.0
1169,Fluchtunfälle,Verletzte und Getötete,2001,03,43.0
1168,Fluchtunfälle,Verletzte und Getötete,2001,02,51.0
1468,Verkehrsunfälle,insgesamt,2001,04,3565.0
1167,Fluchtunfälle,Verletzte und Getötete,2001,01,44.0
582,Alkoholunfälle,Verletzte und Getötete,2001,12,23.0
581,Alkoholunfälle,Verletzte und Getötete,2001,11,25.0
1465,Verkehrsunfälle,insgesamt,2001,01,3348.0
1466,Verkehrsunfälle,insgesamt,2001,02,3148.0
1760,Verkehrsunfälle,mit Personenschäden,2002,11,448.0
1761,Verkehrsunfälle,mit Personenschäden,2002,12,304.0
568,Alkoholunfälle,Verletzte und Getötete,2002,11,10.0
267,Alkoholunfälle,insgesamt,2002,08,71.0
268,Alkoholunfälle,insgesamt,2002,09,107.0
269,Alkoholunfälle,insgesamt,2002,10,83.0
270,Alkoholunfälle,insgesamt,2002,11,44.0
271,Alkoholunfälle,insgesamt,2002,12,63.0
1759,Verkehrsunfälle,mit Personenschäden,2002,10,467.0
558,Alkoholunfälle,Verletzte und Getötete,2002,01,24.0
559,Alkoholunfälle,Verletzte und Getötete,2002,02,22.0
560,Alkoholunfälle,Verletzte und Getötete,2002,03,21.0
561,Alkoholunfälle,Verletzte und Getötete,2002,04,28.0
562,Alkoholunfälle,Verletzte und Getötete,2002,05,32.0
563,Alkoholunfälle,Verletzte und Getötete,2002,06,42.0
564,Alkoholunfälle,Verletzte und Getötete,2002,07,40.0
565,Alkoholunfälle,Verletzte und Getötete,2002,08,29.0
566,Alkoholunfälle,Verletzte und Getötete,2002,09,51.0
569,Alkoholunfälle,Verletzte und Getötete,2002,12,27.0
1758,Verkehrsunfälle,mit Personenschäden,2002,09,509.0
1452,Verkehrsunfälle,insgesamt,2002,01,3063.0
1756,Verkehrsunfälle,mit Personenschäden,2002,07,711.0
2049,Verkehrsunfälle,Verletzte und Getötete,2002,02,393.0
2050,Verkehrsunfälle,Verletzte und Getötete,2002,03,520.0
2051,Verkehrsunfälle,Verletzte und Getötete,2002,04,521.0
2052,Verkehrsunfälle,Verletzte und Getötete,2002,05,654.0
2053,Verkehrsunfälle,Verletzte und Getötete,2002,06,833.0
2054,Verkehrsunfälle,Verletzte und Getötete,2002,07,865.0
2048,Verkehrsunfälle,Verletzte und Getötete,2002,01,431.0
2055,Verkehrsunfälle,Verletzte und Getötete,2002,08,601.0
2057,Verkehrsunfälle,Verletzte und Getötete,2002,10,630.0
1460,Verkehrsunfälle,insgesamt,2002,09,3436.0
266,Alkoholunfälle,insgesamt,2002,07,84.0
1463,Verkehrsunfälle,insgesamt,2002,12,3023.0
1462,Verkehrsunfälle,insgesamt,2002,11,3529.0
1461,Verkehrsunfälle,insgesamt,2002,10,3859.0
2056,Verkehrsunfälle,Verletzte und Getötete,2002,09,621.0
1757,Verkehrsunfälle,mit Personenschäden,2002,08,479.0
1458,Verkehrsunfälle,insgesamt,2002,07,3960.0
1755,Verkehrsunfälle,mit Personenschäden,2002,06,675.0
1754,Verkehrsunfälle,mit Personenschäden,2002,05,537.0
1753,Verkehrsunfälle,mit Personenschäden,2002,04,432.0
1752,Verkehrsunfälle,mit Personenschäden,2002,03,414.0
1751,Verkehrsunfälle,mit Personenschäden,2002,02,316.0
1750,Verkehrsunfälle,mit Personenschäden,2002,01,328.0
1459,Verkehrsunfälle,insgesamt,2002,08,3007.0
1453,Verkehrsunfälle,insgesamt,2002,02,2892.0
1454,Verkehrsunfälle,insgesamt,2002,03,3380.0
1455,Verkehrsunfälle,insgesamt,2002,04,3142.0
1456,Verkehrsunfälle,insgesamt,2002,05,3731.0
1457,Verkehrsunfälle,insgesamt,2002,06,3586.0
2058,Verkehrsunfälle,Verletzte und Getötete,2002,11,563.0
265,Alkoholunfälle,insgesamt,2002,06,74.0
567,Alkoholunfälle,Verletzte und Getötete,2002,10,53.0
263,Alkoholunfälle,insgesamt,2002,04,65.0
867,Fluchtunfälle,insgesamt,2002,12,706.0
2059,Verkehrsunfälle,Verletzte und Getötete,2002,12,394.0
264,Alkoholunfälle,insgesamt,2002,05,58.0
1165,Fluchtunfälle,Verletzte und Getötete,2002,12,38.0
1164,Fluchtunfälle,Verletzte und Getötete,2002,11,50.0
1163,Fluchtunfälle,Verletzte und Getötete,2002,10,49.0
1162,Fluchtunfälle,Verletzte und Getötete,2002,09,77.0
1161,Fluchtunfälle,Verletzte und Getötete,2002,08,50.0
1160,Fluchtunfälle,Verletzte und Getötete,2002,07,72.0
1159,Fluchtunfälle,Verletzte und Getötete,2002,06,74.0
1158,Fluchtunfälle,Verletzte und Getötete,2002,05,73.0
1157,Fluchtunfälle,Verletzte und Getötete,2002,04,37.0
1156,Fluchtunfälle,Verletzte und Getötete,2002,03,39.0
1155,Fluchtunfälle,Verletzte und Getötete,2002,02,33.0
858,Fluchtunfälle,insgesamt,2002,03,897.0
856,Fluchtunfälle,insgesamt,2002,01,852.0
857,Fluchtunfälle,insgesamt,2002,02,817.0
866,Fluchtunfälle,insgesamt,2002,11,882.0
865,Fluchtunfälle,insgesamt,2002,10,1019.0
1154,Fluchtunfälle,Verletzte und Getötete,2002,01,36.0
863,Fluchtunfälle,insgesamt,2002,08,785.0
260,Alkoholunfälle,insgesamt,2002,01,44.0
261,Alkoholunfälle,insgesamt,2002,02,49.0
262,Alkoholunfälle,insgesamt,2002,03,61.0
864,Fluchtunfälle,insgesamt,2002,09,1039.0
860,Fluchtunfälle,insgesamt,2002,05,857.0
861,Fluchtunfälle,insgesamt,2002,06,987.0
862,Fluchtunfälle,insgesamt,2002,07,1026.0
859,Fluchtunfälle,insgesamt,2002,04,784.0
2045,Verkehrsunfälle,Verletzte und Getötete,2003,11,464.0
2044,Verkehrsunfälle,Verletzte und Getötete,2003,10,595.0
2039,Verkehrsunfälle,Verletzte und Getötete,2003,05,632.0
2042,Verkehrsunfälle,Verletzte und Getötete,2003,08,577.0
2041,Verkehrsunfälle,Verletzte und Getötete,2003,07,644.0
2040,Verkehrsunfälle,Verletzte und Getötete,2003,06,723.0
2043,Verkehrsunfälle,Verletzte und Getötete,2003,09,560.0
2035,Verkehrsunfälle,Verletzte und Getötete,2003,01,358.0
2037,Verkehrsunfälle,Verletzte und Getötete,2003,03,476.0
2036,Verkehrsunfälle,Verletzte und Getötete,2003,02,308.0
2046,Verkehrsunfälle,Verletzte und Getötete,2003,12,493.0
1737,Verkehrsunfälle,mit Personenschäden,2003,01,282.0
1738,Verkehrsunfälle,mit Personenschäden,2003,02,232.0
1739,Verkehrsunfälle,mit Personenschäden,2003,03,374.0
1740,Verkehrsunfälle,mit Personenschäden,2003,04,429.0
2038,Verkehrsunfälle,Verletzte und Getötete,2003,04,535.0
1144,Fluchtunfälle,Verletzte und Getötete,2003,04,30.0
1142,Fluchtunfälle,Verletzte und Getötete,2003,02,20.0
1450,Verkehrsunfälle,insgesamt,2003,12,3527.0
1439,Verkehrsunfälle,insgesamt,2003,01,3073.0
1440,Verkehrsunfälle,insgesamt,2003,02,2968.0
1441,Verkehrsunfälle,insgesamt,2003,03,3060.0
1442,Verkehrsunfälle,insgesamt,2003,04,3106.0
1443,Verkehrsunfälle,insgesamt,2003,05,3255.0
1444,Verkehrsunfälle,insgesamt,2003,06,3139.0
1445,Verkehrsunfälle,insgesamt,2003,07,3321.0
1446,Verkehrsunfälle,insgesamt,2003,08,2837.0
1741,Verkehrsunfälle,mit Personenschäden,2003,05,510.0
1447,Verkehrsunfälle,insgesamt,2003,09,3393.0
1152,Fluchtunfälle,Verletzte und Getötete,2003,12,78.0
1151,Fluchtunfälle,Verletzte und Getötete,2003,11,59.0
1150,Fluchtunfälle,Verletzte und Getötete,2003,10,47.0
1149,Fluchtunfälle,Verletzte und Getötete,2003,09,50.0
1148,Fluchtunfälle,Verletzte und Getötete,2003,08,41.0
1147,Fluchtunfälle,Verletzte und Getötete,2003,07,35.0
1146,Fluchtunfälle,Verletzte und Getötete,2003,06,81.0
1145,Fluchtunfälle,Verletzte und Getötete,2003,05,56.0
1143,Fluchtunfälle,Verletzte und Getötete,2003,03,44.0
1141,Fluchtunfälle,Verletzte und Getötete,2003,01,21.0
1742,Verkehrsunfälle,mit Personenschäden,2003,06,566.0
1745,Verkehrsunfälle,mit Personenschäden,2003,09,452.0
1744,Verkehrsunfälle,mit Personenschäden,2003,08,461.0
554,Alkoholunfälle,Verletzte und Getötete,2003,10,17.0
553,Alkoholunfälle,Verletzte und Getötete,2003,09,26.0
1743,Verkehrsunfälle,mit Personenschäden,2003,07,538.0
551,Alkoholunfälle,Verletzte und Getötete,2003,07,35.0
550,Alkoholunfälle,Verletzte und Getötete,2003,06,41.0
549,Alkoholunfälle,Verletzte und Getötete,2003,05,26.0
548,Alkoholunfälle,Verletzte und Getötete,2003,04,25.0
547,Alkoholunfälle,Verletzte und Getötete,2003,03,17.0
546,Alkoholunfälle,Verletzte und Getötete,2003,02,16.0
545,Alkoholunfälle,Verletzte und Getötete,2003,01,18.0
555,Alkoholunfälle,Verletzte und Getötete,2003,11,31.0
843,Fluchtunfälle,insgesamt,2003,01,747.0
247,Alkoholunfälle,insgesamt,2003,01,55.0
248,Alkoholunfälle,insgesamt,2003,02,44.0
249,Alkoholunfälle,insgesamt,2003,03,53.0
250,Alkoholunfälle,insgesamt,2003,04,50.0
251,Alkoholunfälle,insgesamt,2003,05,65.0
252,Alkoholunfälle,insgesamt,2003,06,82.0
253,Alkoholunfälle,insgesamt,2003,07,76.0
254,Alkoholunfälle,insgesamt,2003,08,66.0
255,Alkoholunfälle,insgesamt,2003,09,63.0
256,Alkoholunfälle,insgesamt,2003,10,74.0
257,Alkoholunfälle,insgesamt,2003,11,44.0
258,Alkoholunfälle,insgesamt,2003,12,58.0
556,Alkoholunfälle,Verletzte und Getötete,2003,12,27.0
552,Alkoholunfälle,Verletzte und Getötete,2003,08,40.0
1449,Verkehrsunfälle,insgesamt,2003,11,3325.0
844,Fluchtunfälle,insgesamt,2003,02,572.0
845,Fluchtunfälle,insgesamt,2003,03,854.0
846,Fluchtunfälle,insgesamt,2003,04,844.0
847,Fluchtunfälle,insgesamt,2003,05,763.0
848,Fluchtunfälle,insgesamt,2003,06,855.0
849,Fluchtunfälle,insgesamt,2003,07,562.0
851,Fluchtunfälle,insgesamt,2003,09,945.0
850,Fluchtunfälle,insgesamt,2003,08,698.0
853,Fluchtunfälle,insgesamt,2003,11,953.0
854,Fluchtunfälle,insgesamt,2003,12,858.0
1748,Verkehrsunfälle,mit Personenschäden,2003,12,383.0
1747,Verkehrsunfälle,mit Personenschäden,2003,11,359.0
1746,Verkehrsunfälle,mit Personenschäden,2003,10,466.0
1448,Verkehrsunfälle,insgesamt,2003,10,3631.0
852,Fluchtunfälle,insgesamt,2003,10,960.0
539,Alkoholunfälle,Verletzte und Getötete,2004,08,47.0
541,Alkoholunfälle,Verletzte und Getötete,2004,10,26.0
540,Alkoholunfälle,Verletzte und Getötete,2004,09,41.0
538,Alkoholunfälle,Verletzte und Getötete,2004,07,44.0
1128,Fluchtunfälle,Verletzte und Getötete,2004,01,33.0
536,Alkoholunfälle,Verletzte und Getötete,2004,05,30.0
1129,Fluchtunfälle,Verletzte und Getötete,2004,02,31.0
2032,Verkehrsunfälle,Verletzte und Getötete,2004,11,439.0
1130,Fluchtunfälle,Verletzte und Getötete,2004,03,20.0
1131,Fluchtunfälle,Verletzte und Getötete,2004,04,39.0
1132,Fluchtunfälle,Verletzte und Getötete,2004,05,41.0
1133,Fluchtunfälle,Verletzte und Getötete,2004,06,53.0
1134,Fluchtunfälle,Verletzte und Getötete,2004,07,83.0
1135,Fluchtunfälle,Verletzte und Getötete,2004,08,48.0
